,p,var,lower_bound_p,lower_p_safety_margin_0.05,lower_p_safety_margin_0.1,lower_p_safety_margin_0.2,official_odds,return,lower_bound_return,return_safety_margin_0.05,return_safety_margin_0.1,return_safety_margin_0.2
Brownlow Medal Boxed Pick4: Adam Treloar/Caleb Serong/Nick Daicos/Patrick Cripps,0.002257444,2.25E-08,0.001957287,-0.047742556,-0.097742556,-0.197742556,81,-0.817147072,-0.841459745,-4.867147072,-8.917147072,-17.01714707
Brownlow Medal Boxed Pick4: Caleb Serong/Lachie Neale/Marcus Bontempelli/Patrick Cripps,0.003675458,3.66E-08,0.003292734,-0.046324542,-0.096324542,-0.196324542,81,-0.702287884,-0.733288561,-4.752287884,-8.802287884,-16.90228788
Brownlow Medal Boxed Pick4: Marcus Bontempelli/Nick Daicos/Noah Anderson/Patrick Cripps,0.003800419,3.79E-08,0.003411268,-0.046199581,-0.096199581,-0.196199581,81,-0.692166034,-0.723687322,-4.742166034,-8.792166034,-16.89216603
Brownlow Medal Boxed Pick4: Errol Gulden/Lachie Neale/Marcus Bontempelli/Nick Daicos,0.002253078,2.25E-08,0.001953211,-0.047746922,-0.097746922,-0.197746922,91,-0.794969894,-0.822257768,-5.344969894,-9.894969894,-18.99496989
Brownlow Medal Boxed Pick4: Chad Warner/Nick Daicos/Patrick Cripps/Zachary Merrett,0.000209694,2.10E-09,0.000118119,-0.049790306,-0.099790306,-0.199790306,101,-0.978820925,-0.988070007,-6.028820925,-11.07882092,-21.17882092
Brownlow Medal Boxed Pick4: Errol Gulden/Nick Daicos/Patrick Cripps/Tom Green,0.000236153,2.36E-09,0.000138973,-0.049763847,-0.099763847,-0.199763847,101,-0.976148569,-0.985963712,-6.026148569,-11.07614857,-21.17614857
Brownlow Medal Boxed Pick4: Jason H-Francis/Marcus Bontempelli/Nick Daicos/Patrick Cripps,4.67E-05,4.67E-10,3.46E-06,-0.049953333,-0.099953333,-0.199953333,101,-0.995286667,-0.999650264,-6.045286667,-11.09528667,-21.19528667
Brownlow Medal Boxed Pick4: Errol Gulden/Lachie Neale/Marcus Bontempelli/Patrick Cripps,0.000778483,7.78E-09,0.000602088,-0.049221517,-0.099221517,-0.199221517,111,-0.913588403,-0.93316821,-6.463588403,-12.0135884,-23.1135884
Brownlow Medal Boxed Pick4: Adam Treloar/Errol Gulden/Nick Daicos/Patrick Cripps,0.000495544,4.95E-09,0.000354789,-0.049504456,-0.099504456,-0.199504456,126,-0.93756149,-0.955296601,-7.23756149,-13.53756149,-26.13756149
Brownlow Medal Boxed Pick4: Caleb Serong/Lachie Neale/Patrick Cripps/Zachary Merrett,0.000569614,5.69E-09,0.000418711,-0.049430386,-0.099430386,-0.199430386,126,-0.928228642,-0.947242363,-7.228228642,-13.52822864,-26.12822864
Brownlow Medal Boxed Pick4: Caleb Serong/Chad Warner/Nick Daicos/Patrick Cripps,0.000175177,1.75E-09,9.15E-05,-0.049824823,-0.099824823,-0.199824823,131,-0.977051759,-0.988016599,-7.527051759,-14.07705176,-27.17705176
Brownlow Medal Boxed Pick4: Chad Warner/Lachie Neale/Marcus Bontempelli/Nick Daicos,0.000688932,6.88E-09,0.000522985,-0.049311068,-0.099311068,-0.199311068,131,-0.909749895,-0.931488909,-7.459749895,-14.00974989,-27.10974989
Brownlow Medal Boxed Pick4: Jai Newcombe/Lachie Neale/Nick Daicos/Patrick Cripps,0.000103463,1.03E-09,3.91E-05,-0.049896537,-0.099896537,-0.199896537,131,-0.98644637,-0.994873331,-7.53644637,-14.08644637,-27.18644637
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Nick Daicos/Tom Green,0.005266456,5.24E-08,0.004808691,-0.044733544,-0.094733544,-0.194733544,131,-0.310094253,-0.370061472,-6.860094253,-13.41009425,-26.51009425
Brownlow Medal Boxed Pick4: Adam Treloar/Lachie Neale/Marcus Bontempelli/Nick Daicos,0.008886048,8.81E-08,0.008292513,-0.041113952,-0.091113952,-0.191113952,141,0.252932737,0.169244345,-6.797067263,-13.84706726,-27.94706726
Brownlow Medal Boxed Pick4: Caleb Serong/Lachie Neale/Nick Daicos/Zachary Merrett,0.001548257,1.55E-08,0.001299592,-0.048451743,-0.098451743,-0.198451743,141,-0.78169579,-0.816757585,-7.83169579,-14.88169579,-28.98169579
Brownlow Medal Boxed Pick4: Nick Daicos/Patrick Cripps/Zachary Merrett/Zak Butters,0.00289167,2.88E-08,0.002552063,-0.04710833,-0.09710833,-0.19710833,141,-0.592274596,-0.640159057,-7.642274596,-14.6922746,-28.7922746
Brownlow Medal Boxed Pick4: Adam Treloar/Nick Daicos/Patrick Cripps/Tom Green,0.001260615,1.26E-08,0.001036203,-0.048739385,-0.098739385,-0.198739385,151,-0.809647106,-0.843533418,-8.359647106,-15.90964711,-31.00964711
Brownlow Medal Boxed Pick4: Caleb Serong/Errol Gulden/Lachie Neale/Nick Daicos,0.000499602,4.99E-09,0.000358272,-0.049500398,-0.099500398,-0.199500398,151,-0.92456007,-0.945900865,-8.47456007,-16.02456007,-31.12456007
Brownlow Medal Boxed Pick4: Caleb Serong/Nick Daicos/Noah Anderson/Patrick Cripps,0.000920762,9.20E-09,0.000728938,-0.049079238,-0.099079238,-0.199079238,151,-0.860964871,-0.889930349,-8.410964871,-15.96096487,-31.06096487
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Nick Daicos/Zak Butters,0.018101097,1.78E-07,0.017257926,-0.031898903,-0.081898903,-0.181898903,151,1.733265692,1.60594682,-5.816734308,-13.36673431,-28.46673431
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Patrick Cripps/Tom Green,0.002063083,2.06E-08,0.001776111,-0.047936917,-0.097936917,-0.197936917,151,-0.688474457,-0.731807266,-8.238474457,-15.78847446,-30.88847446
Brownlow Medal Boxed Pick4: Nick Daicos/Noah Anderson/Patrick Cripps/Zachary Merrett,0.000803285,8.03E-09,0.000624105,-0.049196715,-0.099196715,-0.199196715,151,-0.878703967,-0.905760196,-8.428703967,-15.97870397,-31.07870397
Brownlow Medal Boxed Pick4: Caleb Serong/Nick Daicos/Patrick Cripps/Zak Butters,0.003738555,3.72E-08,0.003352571,-0.046261445,-0.096261445,-0.196261445,176,-0.342014373,-0.409947436,-9.142014373,-17.94201437,-35.54201437
Brownlow Medal Boxed Pick4: Chad Warner/Lachie Neale/Marcus Bontempelli/Patrick Cripps,0.000285825,2.86E-09,0.000178915,-0.049714175,-0.099714175,-0.199714175,176,-0.949694871,-0.968511004,-9.749694871,-18.54969487,-36.14969487
Brownlow Medal Boxed Pick4: Errol Gulden/Lachie Neale/Nick Daicos/Zachary Merrett,0.000247366,2.47E-09,0.000147907,-0.049752634,-0.099752634,-0.199752634,176,-0.956463552,-0.973968431,-9.756463552,-18.55646355,-36.15646355
Brownlow Medal Boxed Pick4: Adam Treloar/Lachie Neale/Patrick Cripps/Zachary Merrett,0.000616198,6.16E-09,0.00045925,-0.049383802,-0.099383802,-0.199383802,201,-0.87614423,-0.907690811,-10.92614423,-20.97614423,-41.07614423
Brownlow Medal Boxed Pick4: Caleb Serong/Errol Gulden/Lachie Neale/Patrick Cripps,0.000197197,1.97E-09,0.000108392,-0.049802803,-0.099802803,-0.199802803,201,-0.960363318,-0.978213139,-11.01036332,-21.06036332,-41.16036332
Brownlow Medal Boxed Pick4: Caleb Serong/Jason H-Francis/Nick Daicos/Patrick Cripps,1.33E-05,1.33E-10,-9.76E-06,-0.049986667,-0.099986667,-0.199986667,201,-0.99732,-1.001961865,-11.04732,-21.09732,-41.19732
Brownlow Medal Boxed Pick4: Caleb Serong/Lachie Neale/Nick Daicos/Tom Green,0.001187066,1.19E-08,0.00096929,-0.048812934,-0.098812934,-0.198812934,201,-0.761399785,-0.805172705,-10.81139978,-20.86139978,-40.96139978
Brownlow Medal Boxed Pick4: Chad Warner/Nick Daicos/Patrick Cripps/Tom Green,5.29E-05,5.29E-10,6.88E-06,-0.04994714,-0.09994714,-0.19994714,201,-0.989375211,-0.998617439,-11.03937521,-21.08937521,-41.18937521
Brownlow Medal Boxed Pick4: Errol Gulden/Nick Daicos/Patrick Cripps/Zak Butters,0.000782609,7.82E-09,0.000605748,-0.049217391,-0.099217391,-0.199217391,201,-0.842695564,-0.878244655,-10.89269556,-20.94269556,-41.04269556
Brownlow Medal Boxed Pick4: Jason H-Francis/Lachie Neale/Marcus Bontempelli/Nick Daicos,1.17E-05,1.17E-10,-9.94E-06,-0.049988333,-0.099988333,-0.199988333,201,-0.997655,-1.001997071,-11.047655,-21.097655,-41.197655
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Patrick Cripps/Zak Butters,0.006744459,6.70E-08,0.006226811,-0.043255541,-0.093255541,-0.193255541,201,0.355636213,0.251589083,-9.694363787,-19.74436379,-39.84436379
Brownlow Medal Boxed Pick4: Adam Treloar/Lachie Neale/Marcus Bontempelli/Patrick Cripps,0.003269254,3.26E-08,0.002908224,-0.046730746,-0.096730746,-0.196730746,226,-0.261148567,-0.342741341,-11.56114857,-22.86114857,-45.46114857
Brownlow Medal Boxed Pick4: Adam Treloar/Lachie Neale/Nick Daicos/Zachary Merrett,0.002369039,2.36E-08,0.00206157,-0.047630961,-0.097630961,-0.197630961,226,-0.464597157,-0.534085109,-11.76459716,-23.06459716,-45.66459716
Brownlow Medal Boxed Pick4: Caleb Serong/Marcus Bontempelli/Nick Daicos/Zachary Merrett,0.00442069,4.40E-08,0.004001112,-0.04557931,-0.09557931,-0.19557931,226,-0.000924003,-0.095748688,-11.300924,-22.600924,-45.200924
Brownlow Medal Boxed Pick4: Errol Gulden/Jason H-Francis/Nick Daicos/Patrick Cripps,0,0,0,-0.05,-0.1,-0.2,226,-1,-1,-12.3,-23.6,-46.2
Brownlow Medal Boxed Pick4: Errol Gulden/Lachie Neale/Patrick Cripps/Zachary Merrett,0.000100771,1.01E-09,3.73E-05,-0.049899229,-0.099899229,-0.199899229,226,-0.977225767,-0.99157353,-12.27722577,-23.57722577,-46.17722577
Brownlow Medal Boxed Pick4: Jason H-Francis/Nick Daicos/Patrick Cripps/Zachary Merrett,3.33E-06,3.33E-11,-8.21E-06,-0.049996667,-0.099996667,-0.199996667,226,-0.999246667,-1.001856286,-12.29924667,-23.59924667,-46.19924667
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Noah Anderson/Patrick Cripps,0.001566267,1.56E-08,0.001316162,-0.048433733,-0.098433733,-0.198433733,226,-0.646023758,-0.702547499,-11.94602376,-23.24602376,-45.84602376
Brownlow Medal Boxed Pick4: Lachie Neale/Nick Daicos/Tom Green/Zachary Merrett,0.000952811,9.52E-09,0.00075768,-0.049047189,-0.099047189,-0.199047189,226,-0.784664656,-0.828764279,-12.08466466,-23.38466466,-45.98466466
Brownlow Medal Boxed Pick4: Adam Treloar/Caleb Serong/Lachie Neale/Nick Daicos,0.002847011,2.84E-08,0.00251003,-0.047152989,-0.097152989,-0.197152989,251,-0.285400144,-0.369982391,-12.83540014,-25.38540014,-50.48540014
Brownlow Medal Boxed Pick4: Adam Treloar/Chad Warner/Nick Daicos/Patrick Cripps,0.000235583,2.36E-09,0.000138521,-0.049764417,-0.099764417,-0.199764417,251,-0.940868583,-0.965231251,-13.49086858,-26.04086858,-51.14086858
Brownlow Medal Boxed Pick4: Adam Treloar/Errol Gulden/Lachie Neale/Patrick Cripps,0.000267306,2.67E-09,0.000163916,-0.049732694,-0.099732694,-0.199732694,251,-0.932906286,-0.958857024,-13.48290629,-26.03290629,-51.13290629
Brownlow Medal Boxed Pick4: Adam Treloar/Nick Daicos/Patrick Cripps/Zak Butters,0.004200673,4.18E-08,0.003791624,-0.045799327,-0.095799327,-0.195799327,251,0.054368967,-0.048302337,-12.49563103,-25.04563103,-50.14563103
Brownlow Medal Boxed Pick4: Errol Gulden/Nick Daicos/Noah Anderson/Patrick Cripps,0.000202722,2.03E-09,0.000112682,-0.049797278,-0.099797278,-0.199797278,251,-0.94911681,-0.971716891,-13.49911681,-26.04911681,-51.14911681
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Nick Daicos/Noah Anderson,0.00439464,4.38E-08,0.003976294,-0.04560536,-0.09560536,-0.19560536,251,0.103054533,-0.001950221,-12.44694547,-24.99694547,-50.09694547
Brownlow Medal Boxed Pick4: Lachie Neale/Patrick Cripps/Tom Green/Zachary Merrett,0.000434629,4.34E-09,0.000302805,-0.049565371,-0.099565371,-0.199565371,251,-0.890908192,-0.92399604,-13.44090819,-25.99090819,-51.09090819
Brownlow Medal Boxed Pick4: Nick Daicos/Patrick Cripps/Tom Green/Zak Butters,0.001818393,1.82E-08,0.001548943,-0.048181607,-0.098181607,-0.198181607,251,-0.543583365,-0.611215387,-13.09358336,-25.64358336,-50.74358336
Brownlow Medal Boxed Pick4: Caleb Serong/Marcus Bontempelli/Patrick Cripps/Zachary Merrett,0.001719952,1.72E-08,0.001457884,-0.048280048,-0.098280048,-0.198280048,276,-0.525293204,-0.597624036,-14.3252932,-28.1252932,-55.7252932
Brownlow Medal Boxed Pick4: Adam Treloar/Nick Daicos/Noah Anderson/Patrick Cripps,0.000990849,9.90E-09,0.000791865,-0.049009151,-0.099009151,-0.199009151,301,-0.701754311,-0.761648552,-15.75175431,-30.80175431,-60.90175431
Brownlow Medal Boxed Pick4: Nick Daicos/Noah Anderson/Patrick Cripps/Tom Green,0.000499708,4.99E-09,0.000358364,-0.049500292,-0.099500292,-0.199500292,301,-0.849587792,-0.892132568,-15.89958779,-30.94958779,-61.04958779
Brownlow Medal Boxed Pick4: Caleb Serong/Chad Warner/Lachie Neale/Patrick Cripps,6.86E-05,6.86E-10,1.62E-05,-0.049931366,-0.099931366,-0.199931366,326,-0.977625394,-0.994705934,-17.27762539,-33.57762539,-66.17762539
Brownlow Medal Boxed Pick4: Caleb Serong/Lachie Neale/Patrick Cripps/Tom Green,0.000338836,3.39E-09,0.000222436,-0.049661164,-0.099661164,-0.199661164,326,-0.889539598,-0.927485817,-17.1895396,-33.4895396,-66.0895396
Brownlow Medal Boxed Pick4: Jason H-Francis/Lachie Neale/Marcus Bontempelli/Patrick Cripps,0,0,0,-0.05,-0.1,-0.2,326,-1,-1,-17.3,-33.6,-66.2
Brownlow Medal Boxed Pick4: Lachie Neale/Matt Rowell/Nick Daicos/Patrick Cripps,0.001174302,1.17E-08,0.000957699,-0.048825698,-0.098825698,-0.198825698,326,-0.617177386,-0.687790024,-16.91717739,-33.21717739,-65.81717739
Brownlow Medal Boxed Pick4: Jai Newcombe/Marcus Bontempelli/Nick Daicos/Patrick Cripps,0.000186963,1.87E-09,0.000100493,-0.049813037,-0.099813037,-0.199813037,351,-0.934376049,-0.964727128,-18.48437605,-36.03437605,-71.13437605
Brownlow Medal Boxed Pick4: Adam Treloar/Jason H-Francis/Nick Daicos/Patrick Cripps,1.67E-06,1.67E-11,-6.50E-06,-0.049998333,-0.099998333,-0.199998333,376,-0.999373333,-1.002443358,-19.79937333,-38.59937333,-76.19937333
Brownlow Medal Boxed Pick4: Chad Warner/Nick Daicos/Patrick Cripps/Zak Butters,0.00033835,3.38E-09,0.000222034,-0.04966165,-0.09966165,-0.19966165,376,-0.872780347,-0.916515187,-19.67278035,-38.47278035,-76.07278035
Brownlow Medal Boxed Pick4: Lachie Neale/Nick Daicos/Zachary Merrett/Zak Butters,0.002739187,2.73E-08,0.002408631,-0.047260813,-0.097260813,-0.197260813,376,0.02993446,-0.094354654,-18.77006554,-37.57006554,-75.17006554
Brownlow Medal Boxed Pick4: Lachie Neale/Patrick Cripps/Zachary Merrett/Zak Butters,0.001102644,1.10E-08,0.000892746,-0.048897356,-0.098897356,-0.198897356,376,-0.585405818,-0.66432743,-19.38540582,-38.18540582,-75.78540582
Brownlow Medal Boxed Pick4: Chad Warner/Jason H-Francis/Nick Daicos/Patrick Cripps,0,0,0,-0.05,-0.1,-0.2,401,-1,-1,-21.05,-41.1,-81.2
Brownlow Medal Boxed Pick4: Chad Warner/Lachie Neale/Patrick Cripps/Zachary Merrett,4.69E-05,4.69E-10,3.57E-06,-0.049953128,-0.099953128,-0.199953128,401,-0.981204174,-0.998567092,-21.03120417,-41.08120417,-81.18120417
Brownlow Medal Boxed Pick4: Jason H-Francis/Lachie Neale/Nick Daicos/Zachary Merrett,3.33E-06,3.33E-11,-8.21E-06,-0.049996667,-0.099996667,-0.199996667,501,-0.99833,-1.00411504,-26.04833,-51.09833,-101.19833
Brownlow Medal Boxed Pick4: Jason H-Francis/Nick Daicos/Patrick Cripps/Tom Green,1.17E-05,1.17E-10,-9.94E-06,-0.049988333,-0.099988333,-0.199988333,501,-0.994155,-1.004977774,-26.044155,-51.094155,-101.194155
Brownlow Medal Boxed Pick4: Caleb Serong/Jai Newcombe/Nick Daicos/Patrick Cripps,2.97E-05,2.97E-10,-4.75E-06,-0.049970251,-0.099970251,-0.199970251,551,-0.983608556,-1.002615309,-28.53360856,-56.08360856,-111.1836086
Brownlow Medal Boxed Pick4: Caleb Serong/Lachie Neale/Nick Daicos/Noah Anderson,0.001117427,1.12E-08,0.000906128,-0.048882573,-0.098882573,-0.198882573,601,-0.328426296,-0.455416813,-30.3784263,-60.4284263,-120.5284263
Brownlow Medal Boxed Pick4: Jason H-Francis/Lachie Neale/Patrick Cripps/Zachary Merrett,8.33E-06,8.33E-11,-9.92E-06,-0.049991667,-0.099991667,-0.199991667,651,-0.994575,-1.00646053,-33.544575,-66.094575,-131.194575
Brownlow Medal Boxed Pick4: Caleb Serong/Jason H-Francis/Lachie Neale/Patrick Cripps,0,0,0,-0.05,-0.1,-0.2,701,-1,-1,-36.05,-71.1,-141.2
Brownlow Medal Boxed Pick4: Jai Newcombe/Nick Daicos/Patrick Cripps/Zachary Merrett,4.95E-05,4.95E-10,5.02E-06,-0.049950474,-0.099950474,-0.199950474,701,-0.965282053,-0.996482101,-36.01528205,-71.06528205,-141.1652821
Brownlow Medal Boxed Pick4: Jai Newcombe/Lachie Neale/Marcus Bontempelli/Nick Daicos,0.000215725,2.16E-09,0.000122842,-0.049784275,-0.099784275,-0.199784275,751,-0.837990729,-0.90774536,-38.38799073,-75.93799073,-151.0379907
Brownlow Medal Boxed Pick4: Jason H-Francis/Nick Daicos/Noah Anderson/Patrick Cripps,0,0,0,-0.05,-0.1,-0.2,751,-1,-1,-38.55,-76.1,-151.2
Brownlow Medal Boxed Pick4: Errol Gulden/Jai Newcombe/Nick Daicos/Patrick Cripps,5.71E-06,5.71E-11,-9.40E-06,-0.049994286,-0.099994286,-0.199994286,1000,-0.994285714,-1.00940425,-50.99428571,-100.9942857,-200.9942857
Leader After Round 6: Isaac Heeney,0.139875702,1.20E-06,0.13768198,0.089875702,0.039875702,-0.060124298,1.2,-0.832149157,-0.834781624,-0.892149157,-0.952149157,-1.072149157
Leader After Round 6: Connor Rozee,0.015961012,1.57E-07,0.015168389,-0.034038988,-0.084038988,-0.184038988,15,-0.760584821,-0.772474158,-1.510584821,-2.260584821,-3.760584821
Leader After Round 6: Patrick Cripps,0.007444024,7.39E-08,0.006900384,-0.042555976,-0.092555976,-0.192555976,16,-0.880895619,-0.889593859,-1.680895619,-2.480895619,-4.080895619
Leader After Round 6: Zachary Merrett,0.071613643,6.65E-07,0.069982875,0.021613643,-0.028386357,-0.128386357,18,0.289045571,0.259691743,-0.610954429,-1.510954429,-3.310954429
Leader After Round 6: Caleb Serong,0.036934345,3.56E-07,0.03574153,-0.013065655,-0.063065655,-0.163065655,23,-0.15051006,-0.177944808,-1.30051006,-2.45051006,-4.75051006
Leader After Round 6: Max Gawn,0.097746655,8.82E-07,0.09586844,0.047746655,-0.002253345,-0.102253345,23,1.24817306,1.204974125,0.09817306,-1.05182694,-3.35182694
Leader After Round 6: Matt Rowell,0.087136643,7.95E-07,0.085352896,0.037136643,-0.012863357,-0.112863357,71,5.186701643,5.060055594,1.636701643,-1.913298357,-9.013298357
Leader After Round 6: Tom Green,0.03252456,3.15E-07,0.031402656,-0.01747544,-0.06747544,-0.16747544,71,1.309243726,1.229588545,-2.240756274,-5.790756274,-12.89075627
Leader After Round 6: Noah Anderson,0.005135131,5.11E-08,0.00468308,-0.044864869,-0.094864869,-0.194864869,91,-0.532703083,-0.573839759,-5.082703083,-9.632703083,-18.73270308
Leader After Round 6: Christian Petracca,0.055283238,5.22E-07,0.053837873,0.005283238,-0.044716762,-0.144716762,101,4.583607048,4.43762518,-0.466392952,-5.516392952,-15.61639295
Leader After Round 6: Adam Treloar,0.011091202,1.10E-07,0.010428837,-0.038908798,-0.088908798,-0.188908798,151,0.67477156,0.574754432,-6.87522844,-14.42522844,-29.52522844
Leader After Round 6: Chad Warner,0.000650048,6.50E-09,0.000488849,-0.049349952,-0.099349952,-0.199349952,151,-0.90184281,-0.926183805,-8.45184281,-16.00184281,-31.10184281
Leader After Round 6: Errol Gulden,0.008795571,8.72E-08,0.008205039,-0.041204429,-0.091204429,-0.191204429,151,0.328131286,0.238960911,-7.221868714,-14.77186871,-29.87186871
Leader After Round 6: Marcus Bontempelli,0.081894107,7.52E-07,0.080159893,0.031894107,-0.018105893,-0.118105893,151,11.36601018,11.10414385,3.816010179,-3.733989821,-18.83398982
Leader After Round 6: Zak Butters,0.091843548,8.34E-07,0.090016985,0.041843548,-0.008156452,-0.108156452,151,12.86837569,12.59256468,5.31837569,-2.23162431,-17.33162431
Leader After Round 6: Jack Steele,0.08702094,7.94E-07,0.085238265,0.03702094,-0.01297906,-0.11297906,226,18.66673255,18.26384789,7.366732548,-3.933267452,-26.53326745
Leader After Round 6: Harry McKay,0.012744738,1.26E-07,0.012035307,-0.037255262,-0.087255262,-0.187255262,301,2.836166167,2.622627426,-12.21383383,-27.26383383,-57.36383383
Leader After Round 6: Lachie Neale,0.001461583,1.46E-08,0.001219968,-0.048538417,-0.098538417,-0.198538417,301,-0.560063417,-0.632789579,-15.61006342,-30.66006342,-60.76006342
Leader After Round 6: Alex Pearce,0,0,0,-0.05,-0.1,-0.2,501,-1,-1,-26.05,-51.1,-101.2
Leader After Round 6: Andrew Brayshaw,0.000890429,8.90E-09,0.000701788,-0.049109571,-0.099109571,-0.199109571,501,-0.553895286,-0.648404429,-25.60389529,-50.65389529,-100.7538953
Leader After Round 6: Brodie Grundy,0.005449024,5.42E-08,0.004983435,-0.044550976,-0.094550976,-0.194550976,501,1.729960929,1.496700753,-23.32003907,-48.37003907,-98.47003907
Leader After Round 6: Charlie Curnow,0.003372929,3.36E-08,0.003006238,-0.046627071,-0.096627071,-0.196627071,501,0.689837214,0.506125168,-24.36016279,-49.41016279,-99.51016279
Leader After Round 6: Dayne Zorko,0.00589969,5.86E-08,0.00541534,-0.04410031,-0.09410031,-0.19410031,501,1.955744929,1.71308535,-23.09425507,-48.14425507,-98.24425507
Leader After Round 6: Elliot Yeo,0.004822298,4.80E-08,0.004384163,-0.045177702,-0.095177702,-0.195177702,501,1.415971107,1.19646579,-23.63402889,-48.68402889,-98.78402889
Leader After Round 6: George Hewett,0.001344167,1.34E-08,0.001112446,-0.048655833,-0.098655833,-0.198655833,501,-0.3265725,-0.442664476,-25.3765725,-50.4265725,-100.5265725
Leader After Round 6: Gryan Miers,3.33E-06,3.33E-11,-8.21E-06,-0.049996667,-0.099996667,-0.199996667,501,-0.99833,-1.00411504,-26.04833,-51.09833,-101.19833
Leader After Round 6: Hayden Young,0.0003455,3.45E-09,0.000227962,-0.0496545,-0.0996545,-0.1996545,501,-0.8269045,-0.885791131,-25.8769045,-50.9269045,-101.0269045
Leader After Round 6: Hugh McCluggage,0.001281881,1.28E-08,0.001055586,-0.048718119,-0.098718119,-0.198718119,501,-0.357777643,-0.471151529,-25.40777764,-50.45777764,-100.5577776
Leader After Round 6: Jason H-Francis,0.000140512,1.40E-09,6.55E-05,-0.049859488,-0.099859488,-0.199859488,501,-0.929603536,-0.967160784,-25.97960354,-51.02960354,-101.1296035
Leader After Round 6: Jeremy Cameron,0.002728452,2.72E-08,0.002398543,-0.047271548,-0.097271548,-0.197271548,501,0.366954643,0.201669954,-24.68304536,-49.73304536,-99.83304536
Leader After Round 6: Josh Dunkley,0.006618107,6.57E-08,0.006105299,-0.043381893,-0.093381893,-0.193381893,501,2.315671679,2.05875474,-22.73432832,-47.78432832,-97.88432832
Leader After Round 6: Joshua Kelly,0.000979583,9.79E-09,0.000781733,-0.049020417,-0.099020417,-0.199020417,501,-0.50922875,-0.608352015,-25.55922875,-50.60922875,-100.7092288
Leader After Round 6: Lachie Whitfield,0.001303369,1.30E-08,0.001075188,-0.048696631,-0.098696631,-0.198696631,501,-0.347012107,-0.461331054,-25.39701211,-50.44701211,-100.5470121
Leader After Round 6: Max Holmes,0.000889524,8.89E-09,0.000700979,-0.049110476,-0.099110476,-0.199110476,501,-0.554348571,-0.64880973,-25.60434857,-50.65434857,-100.7543486
Leader After Round 6: Nicholas Martin,0.002707905,2.70E-08,0.002379236,-0.047292095,-0.097292095,-0.197292095,501,0.356660286,0.191997445,-24.69333971,-49.74333971,-99.84333971
Leader After Round 6: Nick Daicos,0.043983464,4.20E-07,0.042686562,-0.006016536,-0.056016536,-0.156016536,501,21.03571561,20.38596732,-4.014284393,-29.06428439,-79.16428439
Leader After Round 6: Rowan Marshall,0.018063143,1.77E-07,0.01722084,-0.031936857,-0.081936857,-0.181936857,501,8.049634571,7.627640684,-17.00036543,-42.05036543,-92.15036543
Leader After Round 10: Isaac Heeney,0.166614083,1.39E-06,0.164257358,0.116614083,0.066614083,-0.033385917,1.15,-0.808393804,-0.811104038,-0.865893804,-0.923393804,-1.038393804
Leader After Round 10: Caleb Serong,0.083492083,7.65E-07,0.081742556,0.033492083,-0.016507917,-0.116507917,13,0.085397083,0.062653227,-0.564602917,-1.214602917,-2.514602917
Leader After Round 10: Zachary Merrett,0.0394775,3.79E-07,0.038245931,-0.0105225,-0.0605225,-0.1605225,16,-0.36836,-0.388065097,-1.16836,-1.96836,-3.56836
Leader After Round 10: Nick Daicos,0.192683083,1.56E-06,0.190188639,0.142683083,0.092683083,-0.007316917,21,3.04634475,2.993961419,1.99634475,0.94634475,-1.15365525
Leader After Round 10: Patrick Cripps,0.007633,7.57E-08,0.007082555,-0.042367,-0.092367,-0.192367,21,-0.839707,-0.851266341,-1.889707,-2.939707,-5.039707
Leader After Round 10: Chad Warner,0.007278083,7.23E-08,0.006740492,-0.042721917,-0.092721917,-0.192721917,41,-0.701598583,-0.723639831,-2.751598583,-4.801598583,-8.901598583
Leader After Round 10: Tom Green,0.02830675,2.75E-07,0.027257837,-0.02169325,-0.07169325,-0.17169325,51,0.44364425,0.390149672,-2.10635575,-4.65635575,-9.75635575
Leader After Round 10: Zak Butters,0.115467333,1.02E-06,0.1134461,0.065467333,0.015467333,-0.084532667,67,6.736311333,6.600888684,3.386311333,0.036311333,-6.663688667
Leader After Round 10: Matt Rowell,0.05798725,5.46E-07,0.056509079,0.00798725,-0.04201275,-0.14201275,81,3.69696725,3.577235409,-0.35303275,-4.40303275,-12.50303275
Leader After Round 10: Max Gawn,0.0869985,7.94E-07,0.085216032,0.0369985,-0.0130015,-0.1130015,81,6.0468785,5.902498631,1.9968785,-2.0531215,-10.1531215
Leader After Round 10: Noah Anderson,0.00944625,9.36E-08,0.008834465,-0.04055375,-0.09055375,-0.19055375,91,-0.14039125,-0.196063674,-4.69039125,-9.24039125,-18.34039125
Leader After Round 10: Adam Treloar,0.0253425,2.47E-07,0.024348513,-0.0246575,-0.0746575,-0.1746575,101,1.5595925,1.459199805,-3.4904075,-8.5404075,-18.6404075
Leader After Round 10: Marcus Bontempelli,0.061183167,5.74E-07,0.059667386,0.011183167,-0.038816833,-0.138816833,101,5.179499833,5.026405971,0.129499833,-4.920500167,-15.02050017
